,name,categories,address,cc,city,country,distance,formattedAddress,labeledLatLngs,lat,lng,state,postalCode,neighborhood,crossStreet,id
0,Data Science Retreat,Research Station,Eislebenerstr 4,DE,Berlin,Deutschland,3742,"['Eislebenerstr 4', 'Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.500531, 'lng': 13.334846}]",52.500531,13.334846,Berlin,,,,59395ef52f97ec2d63847a68
1,DATA SPACE by SAP,Event Space,Rosenthaler Str. 38,DE,Berlin,Deutschland,1544,"['Rosenthaler Str. 38', '10178 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.5244402031686, 'lng': 13.402239006252291}]",52.5244402031686,13.402239006252291,Berlin,10178,,,584e9cd3d8f3e90bf9a7dd5f
2,Otto Bock Science Center Berlin,Science Museum,Eberstr. 15a,DE,Berlin,Deutschland,761,"['Eberstr. 15a', '10177 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.51127586353251, 'lng': 13.376845728591805}]",52.51127586353251,13.376845728591805,Berlin,10177,,,4b278829f964a5202a8724e3
3,Data One GmbH - Office Berlin,Office,Friedrichstraße 88,DE,Berlin,Deutschland,328,"['Friedrichstraße 88', 'Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.5168342590332, 'lng': 13.387846946716309}]",52.5168342590332,13.387846946716309,Berlin,,,,5119f74be4b04e9f7eeaf087
4,Data One GmbH - Office Berlin,Office,Friedrichstraße 88,DE,Berlin,Deutschland,422,"['Friedrichstraße 88', 'Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.517654144355056, 'lng': 13.389146854103332}]",52.517654144355056,13.389146854103332,Berlin,,,,5119f816e4b034f5276b63e8
5,Clincase - Quadratek Data Solutions Ltd,Office,Novalisstrasse 10,DE,Berlin,Deutschland,1326,"['Novalisstrasse 10', '10115 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.52864328867563, 'lng': 13.38719690556611}]",52.52864328867563,13.38719690556611,Berlin,10115,,,563a38f5cd10493f52a387e2
6,Max Möglich Data Recovery / Datenrettung,IT Services,Charlottenstr. 95,DE,Berlin,Deutschland,1476,"['Charlottenstr. 95', '10969 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.50511381169084, 'lng': 13.392681193904881}]",52.50511381169084,13.392681193904881,Berlin,10969,,,50a3e2d5e4b084ec467fb639
7,Game Science Center Berlin,Science Museum,Charlottenstr. 1,DE,Berlin,Deutschland,1527,"['Charlottenstr. 1', '10969 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.50486346685847, 'lng': 13.393522525148}]",52.50486346685847,13.393522525148,Berlin,10969,,,54020dbe498e0e488d79ed63
8,DATA Hall,Event Space,Rosenthaler Str. 38,DE,Berlin,Deutschland,1530,"['Rosenthaler Str. 38', '13127 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.52442, 'lng': 13.402026}]",52.52442,13.402026,Berlin,13127,Mitte,,5aa10d334febd51f444cc801
9,DATA Hub,Tech Startup,Rosenthaler Str. 38,DE,Berlin,Deutschland,1547,"['Rosenthaler Str. 38', '10178 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.52451177387912, 'lng': 13.402215242385864}]",52.52451177387912,13.402215242385864,Berlin,10178,Mitte,,51516cdae4b0ab979fccb9ff
