,City,State,Latitude,Longitude,Position
0,Berlin,Berlin,52.517,13.383,"52.517,13.383"
1,Hamburg,Hamburg,53.55,10.0,"53.55,10.0"
2,Munich (München),Bavaria,48.133,11.567,"48.133,11.567"
3,Cologne (Köln),North Rhine-Westphalia,50.933,6.95,"50.933,6.95"
4,Frankfurt am Main,Hesse,50.117,8.683,"50.117,8.683"
5,Stuttgart,Baden-Württemberg,48.783,9.183,"48.783,9.183"
6,Düsseldorf,North Rhine-Westphalia,51.233,6.783,"51.233,6.783"
7,Dortmund,North Rhine-Westphalia,51.517,7.467,"51.517,7.467"
8,Essen,North Rhine-Westphalia,51.45,7.017,"51.45,7.017"
9,Leipzig,Saxony,51.333,12.383,"51.333,12.383"
10,Bremen,Bremen,53.083,8.8,"53.083,8.8"
11,Dresden,Saxony,51.033,13.733,"51.033,13.733"
12,Hanover (Hannover),Lower Saxony,52.367,9.717,"52.367,9.717"
13,Nuremberg (Nürnberg),Bavaria,49.45,11.083,"49.45,11.083"
14,Duisburg,North Rhine-Westphalia,51.433,6.767,"51.433,6.767"
15,Bochum,North Rhine-Westphalia,51.483,7.217,"51.483,7.217"
16,Wuppertal,North Rhine-Westphalia,51.267,7.183,"51.267,7.183"
17,Bielefeld,North Rhine-Westphalia,52.017,8.533,"52.017,8.533"
18,Bonn,North Rhine-Westphalia,50.733,7.1,"50.733,7.1"
19,Münster,North Rhine-Westphalia,51.967,7.633,"51.967,7.633"
20,Karlsruhe,Baden-Württemberg,49.0,8.4,"49.0,8.4"
21,Mannheim,Baden-Württemberg,49.483,8.467,"49.483,8.467"
22,Augsburg,Bavaria,48.367,10.9,"48.367,10.9"
23,Wiesbaden,Hesse,50.083,8.233,"50.083,8.233"
24,Gelsenkirchen,North Rhine-Westphalia,51.517,7.1,"51.517,7.1"
25,Mönchengladbach,North Rhine-Westphalia,51.2,6.433,"51.2,6.433"
26,Braunschweig,Lower Saxony,52.267,10.517,"52.267,10.517"
27,Chemnitz,Saxony,50.833,12.917,"50.833,12.917"
